Número REDS;Qtde Ocorrências;Natureza Principal Completa;Ano Fato;Mês Fato Resumido;Mês Numérico Fato;Data Fato;Dia da Semana Fato;Horário Fato;Faixa 1 Hora Fato;Faixa 6 Horas Fato;Alvo;Causa Presumida;Desc Longa Meio Utilizado;Descrição Grupo Local Imediato;Descrição Local Imediato;Logradouro Ocorrência - Tipo;Bairro;Bairro Não Cadastrado;Bairro - FATO FINAL;Bairro - FATO FINAL - Municipio;Município;Município - Código;UF - Sigla;RISP ;RMBH 
2022-028915838-001;1;FURTO CONSUMADO;2022;JUL;7;05/07/2022;TERÇA-FEIRA;21:33:44;De 21:00 as 21:59;De 18:00 as 23:59;Estabelecimento Comercial;VANTAGEM ECONOMICA;ARROMBAMENTO / ROMPIMENTO DE OBSTACULO;ESTABELECIMENTO COMERCIAL / SERVICOS;OUTROS - ESTABELECIMENTOS COMERCIAIS / SERVIC;AVENIDA;INVÁLIDO;SANTA RITA;SANTA RITA;SANTA RITA, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2023-055334187-001;1;FURTO CONSUMADO;2023;NOV;11;27/11/2023;SEGUNDA-FEIRA;21:21:09;De 21:00 as 21:59        ;De 18:00 as 23:59        ;Outros;VANTAGEM ECONOMICA;MEIO DESCONHECIDO;AREA / EDIFICACAO ESPECIAL;LOCAL EM CONSTRUCAO OU DEMOLICAO;RUA;SANTA RITA I;;SANTA RITA I;SANTA RITA I, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2022-023047582-001;1;FURTO CONSUMADO;2022;MAI;5;30/05/2022;SEGUNDA-FEIRA;15:10:00;De 15:00 as 15:59;De 12:00 as 17:59;Outros;VANTAGEM ECONOMICA;ARROMBAMENTO / ROMPIMENTO DE OBSTACULO;VIA DE ACESSO;VIA DE ACESSO PUBLICA;RUA;SANTA RITA I;;SANTA RITA I;SANTA RITA I, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2022-020351600-001;1;FURTO CONSUMADO;2022;MAI;5;13/05/2022;SEXTA-FEIRA;00:17:30;De 00:00 as 00:59;De 00:00 as 05:59;Transeunte;VANTAGEM ECONOMICA;ABUSO DE CONFIANCA;VIA DE ACESSO;VIA DE ACESSO PUBLICA;RUA;JARDIM MARIOSA;;JARDIM MARIOSA;JARDIM MARIOSA, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2024-056526018-001;1;FURTO CONSUMADO;2024;DEZ;12;18/12/2024;QUARTA-FEIRA;15:30:07;De 15:00 as 15:59        ;De 12:00 as 17:59        ;Outros;VANTAGEM ECONOMICA;MEIO DESCONHECIDO;VIA DE ACESSO;VIA DE ACESSO PUBLICA;AVENIDA;SANTA RITA I;;SANTA RITA I;SANTA RITA I, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2024-043413705-001;1;FURTO CONSUMADO;2024;SET;9;26/09/2024;QUINTA-FEIRA;18:46:03;De 18:00 as 18:59        ;De 18:00 as 23:59        ;Residência;VANTAGEM ECONOMICA;MEIO DESCONHECIDO;RESIDENCIA UNIFAMILIAR URBANA;APARTAMENTO;RUA;JARDIM MARIOSA;;JARDIM MARIOSA;JARDIM MARIOSA, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2024-040565602-001;1;FURTO CONSUMADO;2024;SET;9;09/09/2024;SEGUNDA-FEIRA;13:23:11;De 13:00 as 13:59        ;De 12:00 as 17:59        ;Outros;VANTAGEM ECONOMICA;CONHECIMENTO TECNICO ESPECIFICO;RESIDENCIA UNIFAMILIAR URBANA;CASA;AVENIDA;SANTA RITA I;;SANTA RITA I;SANTA RITA I, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2025-011205397-001;1;FURTO CONSUMADO;2025;MAR;3;10/03/2025;SEGUNDA-FEIRA;10:18:46;De 10:00 as 10:59        ;De 06:00 as 11:59        ;Outros;VANTAGEM ECONOMICA;CONHECIMENTO TECNICO ESPECIFICO;VIA DE ACESSO;VIA DE ACESSO PUBLICA;AVENIDA;JARDIM MARIOSA;;JARDIM MARIOSA;JARDIM MARIOSA, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2024-033231750-001;1;FURTO CONSUMADO;2024;JUL;7;24/07/2024;QUARTA-FEIRA;19:00:00;De 19:00 as 19:59        ;De 18:00 as 23:59        ;Outros;IGNORADO;MEIO DESCONHECIDO;EMBARCACAO AEREA / AQUATICA / TERRESTRE;AUTOMOVEL;RUA;JARDIM MARIOSA;;JARDIM MARIOSA;JARDIM MARIOSA, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2023-018935605-001;1;FURTO CONSUMADO;2023;ABR;4;22/04/2023;SÁBADO;02:00:00;De 02:00 as 02:59;De 00:00 as 05:59;Outros;OUTRAS MOTIVACOES/CAUSAS ;ARROMBAMENTO / ROMPIMENTO DE OBSTACULO;ESTABELECIMENTO COMERCIAL / SERVICOS;OUTROS - ESTABELECIMENTOS COMERCIAIS / SERVIC;RUA;JARDIM MARIOSA;;JARDIM MARIOSA;JARDIM MARIOSA, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2025-004595962-001;1;FURTO CONSUMADO;2025;JAN;1;27/01/2025;SEGUNDA-FEIRA;14:00:00;De 14:00 as 14:59        ;De 12:00 as 17:59        ;Residência;VANTAGEM ECONOMICA;CONHECIMENTO TECNICO ESPECIFICO;RESIDENCIA UNIFAMILIAR URBANA;CASA;RUA;JARDIM MARIOSA;;JARDIM MARIOSA;JARDIM MARIOSA, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2025-004595962-002;1;FURTO CONSUMADO;2025;FEV;2;07/02/2025;SEXTA-FEIRA;12:00:00;De 12:00 as 12:59        ;De 12:00 as 17:59        ;Residência;VANTAGEM ECONOMICA;MEDIANTE FRAUDE;RESIDENCIA UNIFAMILIAR URBANA;CASA;RUA;JARDIM MARIOSA;;JARDIM MARIOSA;JARDIM MARIOSA, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2024-034585830-001;1;FURTO CONSUMADO;2024;AGO;8;03/08/2024;SÁBADO;04:24:41;De 04:00 as 04:59        ;De 00:00 as 05:59        ;Outros;VANTAGEM ECONOMICA;MEIO DESCONHECIDO;RESIDENCIA UNIFAMILIAR URBANA;CASA;RUA;JARDIM MARIOSA;;JARDIM MARIOSA;JARDIM MARIOSA, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2022-048265787-001;1;FURTO CONSUMADO;2022;OUT;10;23/10/2022;DOMINGO;20:00:00;De 20:00 as 20:59;De 18:00 as 23:59;Transeunte;VANTAGEM ECONOMICA;ABUSO DE CONFIANCA;VIA DE ACESSO;VIA DE ACESSO PUBLICA;AVENIDA;JARDIM MARIOSA;;JARDIM MARIOSA;JARDIM MARIOSA, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2022-048265787-002;1;FURTO CONSUMADO;2022;NOV;11;17/11/2022;QUINTA-FEIRA;12:50:00;De 12:00 as 12:59;De 12:00 as 17:59;Transeunte;VANTAGEM ECONOMICA;ABUSO DE CONFIANCA;VIA DE ACESSO;VIA DE ACESSO PUBLICA;AVENIDA;JARDIM MARIOSA;;JARDIM MARIOSA;JARDIM MARIOSA, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2023-046370662-001;1;FURTO CONSUMADO;2023;OUT;10;03/10/2023;TERÇA-FEIRA;17:00:00;De 17:00 as 17:59        ;De 12:00 as 17:59        ;Outros;VANTAGEM ECONOMICA;OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO);RESIDENCIA UNIFAMILIAR URBANA;CASA;RUA;JARDIM MARIOSA;;JARDIM MARIOSA;JARDIM MARIOSA, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2023-029959324-001;1;FURTO CONSUMADO;2023;JUN;6;23/06/2023;SEXTA-FEIRA;12:00:00;De 12:00 as 12:59;De 12:00 as 17:59;Outros;IGNORADO;MEIO DESCONHECIDO;VIA DE ACESSO;VIA DE ACESSO PUBLICA;AVENIDA;SANTA RITA I;;SANTA RITA I;SANTA RITA I, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2024-003318044-001;1;FURTO CONSUMADO;2024;JAN;1;22/01/2024;SEGUNDA-FEIRA;06:27:48;De 06:00 as 06:59        ;De 06:00 as 11:59        ;Outros;VANTAGEM ECONOMICA;ESCALADA;RESIDENCIA UNIFAMILIAR URBANA;OUTROS - RESIDENCIAS URBANAS;AVENIDA;SANTA RITA I;;SANTA RITA I;SANTA RITA I, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2024-013925594-001;1;FURTO CONSUMADO;2024;MAR;3;27/03/2024;QUARTA-FEIRA;17:00:00;De 17:00 as 17:59        ;De 12:00 as 17:59        ;Transeunte;VANTAGEM ECONOMICA;OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO);VIA DE ACESSO;VIA DE ACESSO PUBLICA;AVENIDA;SANTA RITA I;;SANTA RITA I;SANTA RITA I, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2022-030832224-001;1;FURTO CONSUMADO;2022;JUL;7;17/07/2022;DOMINGO;17:14:00;De 17:00 as 17:59;De 12:00 as 17:59;Residência;VANTAGEM ECONOMICA;OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO);RESIDENCIA UNIFAMILIAR URBANA;CASA;RUA;SANTA RITA I;;SANTA RITA I;SANTA RITA I, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2022-027801451-001;1;FURTO CONSUMADO;2022;JUN;6;29/06/2022;QUARTA-FEIRA;03:36:07;De 03:00 as 03:59;De 00:00 as 05:59;Estabelecimento Comercial;VANTAGEM ECONOMICA;ARROMBAMENTO / ROMPIMENTO DE OBSTACULO;ESTABELECIMENTO COMERCIAL / SERVICOS;BAR / LANCHONETE / RESTAURANTE / SIMILAR;AVENIDA;SANTA RITA I;;SANTA RITA I;SANTA RITA I, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2024-056950670-001;1;FURTO CONSUMADO;2024;DEZ;12;21/12/2024;SÁBADO;08:36:28;De 08:00 as 08:59        ;De 06:00 as 11:59        ;Estabelecimento Comercial;IGNORADO;EMPREGO DE CHAVE FALSA / MICHA / GAZUA;DEPOSITO;OUTROS - DEPOSITO EM GERAL;RUA;JARDIM MARIOSA;;JARDIM MARIOSA;JARDIM MARIOSA, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2024-007663520-001;1;FURTO CONSUMADO;2024;FEV;2;18/02/2024;DOMINGO;10:05:23;De 10:00 as 10:59        ;De 06:00 as 11:59        ;Transeunte;VANTAGEM ECONOMICA;ABUSO DE CONFIANCA;VIA DE ACESSO;VIA DE ACESSO PUBLICA;RUA;SHANGRI-LA;;SHANGRI-LA;SHANGRI-LA, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2023-057571442-001;1;FURTO CONSUMADO;2023;DEZ;12;08/12/2023;SEXTA-FEIRA;15:00:00;De 15:00 as 15:59        ;De 12:00 as 17:59        ;Outros;IGNORADO;ARROMBAMENTO / ROMPIMENTO DE OBSTACULO;RESIDENCIA UNIFAMILIAR URBANA;CASA;RUA;SANTA RITA I;;SANTA RITA I;SANTA RITA I, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2023-013172242-001;1;FURTO CONSUMADO;2023;MAR;3;17/03/2023;SEXTA-FEIRA;02:00:00;De 02:00 as 02:59;De 00:00 as 05:59;Outros;OUTRAS MOTIVACOES/CAUSAS ;ARROMBAMENTO / ROMPIMENTO DE OBSTACULO;RESIDENCIA UNIFAMILIAR URBANA;CASA;AVENIDA;SANTA RITA I;;SANTA RITA I;SANTA RITA I, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2023-048304115-001;1;FURTO CONSUMADO;2023;OUT;10;14/10/2023;SÁBADO;00:00:00;De 00:00 as 00:59        ;De 00:00 as 05:59        ;Outros;IGNORADO;MEIO DESCONHECIDO;RESIDENCIA UNIFAMILIAR URBANA;OUTROS - RESIDENCIAS URBANAS;AVENIDA;SANTA RITA I;;SANTA RITA I;SANTA RITA I, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2022-013119304-001;1;FURTO CONSUMADO;2022;MAR;3;28/03/2022;SEGUNDA-FEIRA;07:43:33;De 07:00 as 07:59;De 06:00 as 11:59;Outros;VANTAGEM ECONOMICA;ARROMBAMENTO / ROMPIMENTO DE OBSTACULO;LOCAL / ESTABELECIMENTO DE LAZER / CULTURA /;CLUBE SOCIAL / LAZER / ESPORTIVO;RUA;JARDIM CANADA;;JARDIM CANADA;JARDIM CANADA, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2024-012149281-001;1;FURTO CONSUMADO;2024;MAR;3;16/03/2024;SÁBADO;22:04:27;De 22:00 as 22:59        ;De 18:00 as 23:59        ;Estabelecimento Comercial;VANTAGEM ECONOMICA;ARROMBAMENTO / ROMPIMENTO DE OBSTACULO;ESTABELECIMENTO COMERCIAL / SERVICOS;OUTROS - ESTABELECIMENTOS COMERCIAIS / SERVIC;RUA;INVÁLIDO;JARDIM CANADA;JARDIM CANADA;JARDIM CANADA, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2024-032015380-001;1;FURTO CONSUMADO;2024;JUL;7;17/07/2024;QUARTA-FEIRA;00:39:00;De 00:00 as 00:59        ;De 00:00 as 05:59        ;Outros;VANTAGEM ECONOMICA;MEIO DESCONHECIDO;VIA DE ACESSO;VIA DE ACESSO PUBLICA;AVENIDA;JARDIM MARIOSA;;JARDIM MARIOSA;JARDIM MARIOSA, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2022-028980391-001;1;FURTO CONSUMADO;2022;JUN;6;28/06/2022;TERÇA-FEIRA;08:00:00;De 08:00 as 08:59;De 06:00 as 11:59;Residência;VANTAGEM ECONOMICA;ARROMBAMENTO / ROMPIMENTO DE OBSTACULO;RESIDENCIA UNIFAMILIAR URBANA;CASA;RUA;INVÁLIDO;JARDIM CANADA;JARDIM CANADA;JARDIM CANADA, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2024-022698741-001;1;FURTO CONSUMADO;2024;MAI;5;16/05/2024;QUINTA-FEIRA;08:00:00;De 08:00 as 08:59        ;De 06:00 as 11:59        ;Outros;VANTAGEM ECONOMICA;ARROMBAMENTO / ROMPIMENTO DE OBSTACULO;VIA DE ACESSO;VIA DE ACESSO PUBLICA;RUA;INVÁLIDO;SANTA RITA;SANTA RITA;SANTA RITA, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2023-054290780-001;1;FURTO CONSUMADO;2023;NOV;11;21/11/2023;TERÇA-FEIRA;11:52:32;De 11:00 as 11:59        ;De 06:00 as 11:59        ;Residência;VANTAGEM ECONOMICA;ARROMBAMENTO / ROMPIMENTO DE OBSTACULO;IMOVEL RURAL;SITIO;RUA;VALE DO SOL;;VALE DO SOL;VALE DO SOL, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2023-005404120-001;1;FURTO CONSUMADO;2023;FEV;2;03/02/2023;SEXTA-FEIRA;02:40:36;De 02:00 as 02:59;De 00:00 as 05:59;Outros;VANTAGEM ECONOMICA;EMPREGO DE CHAVE FALSA / MICHA / GAZUA;VIA DE ACESSO;VIA DE ACESSO PUBLICA;RUA;JARDIM MARIOSA;;JARDIM MARIOSA;JARDIM MARIOSA, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2022-043991890-001;1;FURTO CONSUMADO;2022;OUT;10;06/10/2022;QUINTA-FEIRA;18:58:29;De 18:00 as 18:59;De 18:00 as 23:59;Estabelecimento Comercial;VANTAGEM ECONOMICA;MEIO DESCONHECIDO;ESTABELECIMENTO COMERCIAL / SERVICOS;OUTROS - ESTABELECIMENTOS COMERCIAIS / SERVIC;AVENIDA;SANTA RITA I;;SANTA RITA I;SANTA RITA I, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2022-028488420-001;1;FURTO CONSUMADO;2022;JUN;6;30/06/2022;QUINTA-FEIRA;03:00:00;De 03:00 as 03:59;De 00:00 as 05:59;Cargas;VANTAGEM ECONOMICA;ARROMBAMENTO / ROMPIMENTO DE OBSTACULO;IMOVEL RURAL;RESIDENCIA RURAL;BAIRRO;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2023-013788284-001;1;FURTO CONSUMADO;2023;MAR;3;23/03/2023;QUINTA-FEIRA;16:00:00;De 16:00 as 16:59;De 12:00 as 17:59;Residência;VANTAGEM ECONOMICA;OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO);IMOVEL RURAL;CHACARA;BAIRRO;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2024-049742502-001;1;FURTO CONSUMADO;2024;NOV;11;05/11/2024;TERÇA-FEIRA;15:26:54;De 15:00 as 15:59        ;De 12:00 as 17:59        ;Transeunte;VANTAGEM ECONOMICA;ARROMBAMENTO / ROMPIMENTO DE OBSTACULO;VIA DE ACESSO;VIA DE ACESSO PUBLICA;BAIRRO;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2024-054624941-001;1;FURTO CONSUMADO;2024;DEZ;12;06/12/2024;SEXTA-FEIRA;06:45:00;De 06:00 as 06:59        ;De 06:00 as 11:59        ;Transeunte;VANTAGEM ECONOMICA;ABUSO DE CONFIANCA;IMOVEL RURAL;RESIDENCIA RURAL;BAIRRO;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2023-050538924-001;1;FURTO CONSUMADO;2023;OUT;10;29/10/2023;DOMINGO;15:30:19;De 15:00 as 15:59        ;De 12:00 as 17:59        ;Outros;VANTAGEM ECONOMICA;ARROMBAMENTO / ROMPIMENTO DE OBSTACULO;VIA DE ACESSO;VIA DE ACESSO PUBLICA;AVENIDA;SANTA RITA I;;SANTA RITA I;SANTA RITA I, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2025-017920101-001;1;FURTO CONSUMADO;2025;ABR;4;18/04/2025;SEXTA-FEIRA;09:27:49;De 09:00 as 09:59        ;De 06:00 as 11:59        ;Residência;VANTAGEM ECONOMICA;CONHECIMENTO TECNICO ESPECIFICO;VIA DE ACESSO;VIA DE ACESSO PUBLICA;RUA;VALE DO SOL;;VALE DO SOL;VALE DO SOL, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2024-026813420-001;1;FURTO CONSUMADO;2024;JUN;6;13/06/2024;QUINTA-FEIRA;22:32:22;De 22:00 as 22:59        ;De 18:00 as 23:59        ;Outros;VANTAGEM ECONOMICA;MEIO DESCONHECIDO;VIA DE ACESSO;VIA DE ACESSO PUBLICA;RUA;SHANGRI-LA;;SHANGRI-LA;SHANGRI-LA, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2024-034490786-001;1;FURTO CONSUMADO;2024;AGO;8;02/08/2024;SEXTA-FEIRA;11:58:00;De 11:00 as 11:59        ;De 06:00 as 11:59        ;Outros;VANTAGEM ECONOMICA;MEDIANTE FRAUDE;VIA DE ACESSO;VIA DE ACESSO PUBLICA;AVENIDA;JARDIM MARIOSA;;JARDIM MARIOSA;JARDIM MARIOSA, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2023-005397925-001;1;FURTO CONSUMADO;2023;FEV;2;03/02/2023;SEXTA-FEIRA;00:50:22;De 00:00 as 00:59;De 00:00 as 05:59;Outros;IGNORADO;MEIO DESCONHECIDO;RESIDENCIA UNIFAMILIAR URBANA;CASA;RUA;INVÁLIDO;JARDIM INDUSTRIAL MARIOSA;JARDIM INDUSTRIAL MARIOSA;JARDIM INDUSTRIAL MARIOSA, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2022-031474437-001;1;FURTO CONSUMADO;2022;JUL;7;18/07/2022;SEGUNDA-FEIRA;07:00:00;De 07:00 as 07:59;De 06:00 as 11:59;Residência;VANTAGEM ECONOMICA;OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO);IMOVEL RURAL;CASA/SITIO EM CONDOMÍNIO FECHADO;RUA;JARDIM CANADA;;JARDIM CANADA;JARDIM CANADA, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2022-029760210-001;1;FURTO CONSUMADO;2022;JUL;7;09/07/2022;SÁBADO;09:00:00;De 09:00 as 09:59;De 06:00 as 11:59;Outros;VANTAGEM ECONOMICA;ARROMBAMENTO / ROMPIMENTO DE OBSTACULO;RESIDENCIA UNIFAMILIAR URBANA;APARTAMENTO;RUA;INVÁLIDO;SHANGRI-LA;SHANGRI-LA;SHANGRI-LA, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2023-059352961-001;1;FURTO CONSUMADO;2023;DEZ;12;22/12/2023;SEXTA-FEIRA;12:07:36;De 12:00 as 12:59        ;De 12:00 as 17:59        ;Residência;VANTAGEM ECONOMICA;ESCALADA;RESIDENCIA UNIFAMILIAR URBANA;CASA;RUA;INVÁLIDO;SANTA RITA;SANTA RITA;SANTA RITA, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2024-054930242-001;1;FURTO CONSUMADO;2024;DEZ;12;08/12/2024;DOMINGO;05:00:00;De 05:00 as 05:59        ;De 00:00 as 05:59        ;Outros;IGNORADO;MEIO DESCONHECIDO;EMBARCACAO AEREA / AQUATICA / TERRESTRE;AUTOMOVEL;RUA;JARDIM MARIOSA;;JARDIM MARIOSA;JARDIM MARIOSA, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2024-034863187-001;1;FURTO CONSUMADO;2024;AGO;8;05/08/2024;SEGUNDA-FEIRA;10:43:47;De 10:00 as 10:59        ;De 06:00 as 11:59        ;Transeunte;VANTAGEM ECONOMICA;ARROMBAMENTO / ROMPIMENTO DE OBSTACULO;VIA DE ACESSO;VIA DE ACESSO PUBLICA;RUA;SANTA RITA I;;SANTA RITA I;SANTA RITA I, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2023-057459520-001;1;FURTO CONSUMADO;2023;DEZ;12;11/12/2023;SEGUNDA-FEIRA;01:49:04;De 01:00 as 01:59        ;De 00:00 as 05:59        ;Estabelecimento Comercial;VANTAGEM ECONOMICA;ARROMBAMENTO / ROMPIMENTO DE OBSTACULO;ESTABELECIMENTO COMERCIAL / SERVICOS;BAR / LANCHONETE / RESTAURANTE / SIMILAR;AVENIDA;JARDIM MARIOSA;;JARDIM MARIOSA;JARDIM MARIOSA, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2022-008555931-001;1;FURTO CONSUMADO;2022;FEV;2;22/02/2022;TERÇA-FEIRA;09:00:00;De 09:00 as 09:59;De 06:00 as 11:59;Residência;VANTAGEM ECONOMICA;OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO);VIA DE ACESSO;VIA DE ACESSO PUBLICA;RUA;SANTA RITA I;;SANTA RITA I;SANTA RITA I, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2023-055842012-001;1;FURTO CONSUMADO;2023;NOV;11;30/11/2023;QUINTA-FEIRA;20:05:27;De 20:00 as 20:59        ;De 18:00 as 23:59        ;Outros;VANTAGEM ECONOMICA;ARROMBAMENTO / ROMPIMENTO DE OBSTACULO;AREA / EDIFICACAO ESPECIAL;LOCAL EM CONSTRUCAO OU DEMOLICAO;AVENIDA;INVÁLIDO;SANTA RITA;SANTA RITA;SANTA RITA, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2022-014280149-001;1;FURTO CONSUMADO;2022;MAR;3;21/03/2022;SEGUNDA-FEIRA;12:00:00;De 12:00 as 12:59;De 12:00 as 17:59;Outros;VANTAGEM ECONOMICA;OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO);INSTITUICAO DE ENSINO;INSTITUICAO DE ENSINO PUBLICO MUNICIPAL;AVENIDA;JARDIM MARIOSA;;JARDIM MARIOSA;JARDIM MARIOSA, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2022-024479537-001;1;FURTO CONSUMADO;2022;JUN;6;08/06/2022;QUARTA-FEIRA;12:30:30;De 12:00 as 12:59;De 12:00 as 17:59;Outros;VANTAGEM ECONOMICA;ARROMBAMENTO / ROMPIMENTO DE OBSTACULO;VIA DE ACESSO;VIA DE ACESSO PUBLICA;AVENIDA;ARVORE GRANDE;;ARVORE GRANDE;ARVORE GRANDE, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2022-037466581-001;1;FURTO CONSUMADO;2022;AGO;8;27/08/2022;SÁBADO;10:00:00;De 10:00 as 10:59;De 06:00 as 11:59;Outros;ACAO DE GANGUES / FACCOES CRIMINOSAS;ARROMBAMENTO / ROMPIMENTO DE OBSTACULO;ESTABELECIMENTO COMERCIAL / SERVICOS;ESTACIONAMENTO / GARAGEM;AVENIDA;ARVORE GRANDE;;ARVORE GRANDE;ARVORE GRANDE, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2023-009332669-001;1;FURTO CONSUMADO;2023;FEV;2;25/02/2023;SÁBADO;23:00:00;De 23:00 as 23:59;De 18:00 as 23:59;Residência;VANTAGEM ECONOMICA;ARROMBAMENTO / ROMPIMENTO DE OBSTACULO;RESIDENCIA UNIFAMILIAR URBANA;CASA;RUA;VALE DO SOL;;VALE DO SOL;VALE DO SOL, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2023-009364391-001;1;FURTO CONSUMADO;2023;FEV;2;26/02/2023;DOMINGO;04:00:00;De 04:00 as 04:59;De 00:00 as 05:59;Residência;VANTAGEM ECONOMICA;ARROMBAMENTO / ROMPIMENTO DE OBSTACULO;RESIDENCIA UNIFAMILIAR URBANA;CASA;RUA;VALE DO SOL;;VALE DO SOL;VALE DO SOL, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2022-049358369-001;1;FURTO CONSUMADO;2022;NOV;11;10/11/2022;QUINTA-FEIRA;18:00:00;De 18:00 as 18:59;De 18:00 as 23:59;Outros;VANTAGEM ECONOMICA;CONHECIMENTO TECNICO ESPECIFICO;RESIDENCIA UNIFAMILIAR URBANA;OUTROS - RESIDENCIAS URBANAS;RUA;JARDIM CANADA;;JARDIM CANADA;JARDIM CANADA, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
