Número REDS;Qtde Ocorrências;Natureza Principal Completa;Ano Fato;Mês Fato Resumido;Mês Numérico Fato;Data Fato;Dia da Semana Fato;Horário Fato;Faixa 1 Hora Fato;Faixa 6 Horas Fato;Alvo;Causa Presumida;Desc Longa Meio Utilizado;Descrição Grupo Local Imediato;Descrição Local Imediato;Logradouro Ocorrência - Tipo;Bairro;Bairro Não Cadastrado;Bairro - FATO FINAL;Bairro - FATO FINAL - Municipio;Município;Município - Código;UF - Sigla;RISP ;RMBH 
2024-008924466-001;1;FURTO CONSUMADO;2024;FEV;2;26/02/2024;SEGUNDA-FEIRA;11:00:00;De 11:00 as 11:59        ;De 06:00 as 11:59        ;Outros;VANTAGEM ECONOMICA;OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO);VIA DE ACESSO;VIA DE ACESSO PARTICULAR/PRIVADA;PRACA;CENTRO;;CENTRO;CENTRO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2023-028467713-001;1;FURTO CONSUMADO;2023;JUN;6;17/06/2023;SÁBADO;18:08:53;De 18:00 as 18:59;De 18:00 as 23:59;Residência;VANTAGEM ECONOMICA;ARROMBAMENTO / ROMPIMENTO DE OBSTACULO;RESIDENCIA UNIFAMILIAR URBANA;CASA;RUA;SANTA LUCIA;;SANTA LUCIA;SANTA LUCIA, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2022-006640099-001;1;FURTO CONSUMADO;2022;FEV;2;12/02/2022;SÁBADO;14:55:09;De 14:00 as 14:59;De 12:00 as 17:59;Estabelecimento Comercial;ENVOLVIMENTO COM DROGAS;MEDIANTE FRAUDE;ESTABELECIMENTO COMERCIAL / SERVICOS;LOJA DIVERSA;RUA;CENTRO;;CENTRO;CENTRO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2023-014686170-001;1;FURTO CONSUMADO;2023;MAR;3;29/03/2023;QUARTA-FEIRA;10:00:00;De 10:00 as 10:59;De 06:00 as 11:59;Transeunte;VANTAGEM ECONOMICA;OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO);VIA DE ACESSO;VIA DE ACESSO PUBLICA;RUA;SANTA CRUZ;;SANTA CRUZ;SANTA CRUZ, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2024-055500746-001;1;FURTO CONSUMADO;2024;DEZ;12;11/12/2024;QUARTA-FEIRA;18:12:00;De 18:00 as 18:59        ;De 18:00 as 23:59        ;Outros;VANTAGEM ECONOMICA;MEIO DESCONHECIDO;ESTABELECIMENTO COMERCIAL / SERVICOS;LOJA DIVERSA;RUA;CENTRO;;CENTRO;CENTRO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2023-017335010-001;1;FURTO CONSUMADO;2023;ABR;4;13/04/2023;QUINTA-FEIRA;15:57:04;De 15:00 as 15:59;De 12:00 as 17:59;Estabelecimento Comercial;VANTAGEM ECONOMICA;ABUSO DE CONFIANCA;ESTABELECIMENTO COMERCIAL / SERVICOS;MERCEARIA / SACOLAO / SUPERMERCADO;AVENIDA;CENTRO;;CENTRO;CENTRO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2022-038509231-001;1;FURTO CONSUMADO;2022;SET;9;02/09/2022;SEXTA-FEIRA;23:29:02;De 23:00 as 23:59;De 18:00 as 23:59;Transeunte;VANTAGEM ECONOMICA;MEIO DESCONHECIDO;VIA DE ACESSO;VIA DE ACESSO PUBLICA;PRACA;CENTRO;;CENTRO;CENTRO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2022-043206269-001;1;FURTO CONSUMADO;2022;OUT;10;01/10/2022;SÁBADO;23:16:54;De 23:00 as 23:59;De 18:00 as 23:59;Outros;VANTAGEM ECONOMICA;OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO);VIA DE ACESSO;VIA DE ACESSO PUBLICA;PRACA;CENTRO;;CENTRO;CENTRO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2023-058570291-001;1;FURTO CONSUMADO;2023;DEZ;12;17/12/2023;DOMINGO;19:30:00;De 19:00 as 19:59        ;De 18:00 as 23:59        ;Outros;IGNORADO;OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO);ESTABELECIMENTO COMERCIAL / SERVICOS;DROGARIA / FARMACIA;PRACA;CENTRO;;CENTRO;CENTRO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2024-000032599-001;1;FURTO CONSUMADO;2024;JAN;1;01/01/2024;SEGUNDA-FEIRA;08:20:00;De 08:00 as 08:59        ;De 06:00 as 11:59        ;Estabelecimento Comercial;IGNORADO;ABUSO DE CONFIANCA;ESTABELECIMENTO COMERCIAL / SERVICOS;DROGARIA / FARMACIA;PRACA;CENTRO;;CENTRO;CENTRO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
